,08/09/2020,08/16/2020,08/23/2020,08/30/2020,09/06/2020,09/13/2020,09/20/2020,09/27/2020,10/04/2020,10/11/2020,10/18/2020,10/25/2020,11/01/2020,11/08/2020,11/15/2020,11/22/2020,11/29/2020,12/06/2020,12/13/2020,12/20/2020,12/27/2020,01/03/2021,01/10/2021,01/17/2021,01/24/2021,01/31/2021,02/07/2021,02/14/2021,02/21/2021,02/28/2021,03/07/2021,03/14/2021,03/21/2021,03/28/2021,04/04/2021,04/11/2021,04/18/2021,04/25/2021,05/02/2021,05/09/2021,05/16/2021,05/23/2021,05/30/2021,06/06/2021,06/13/2021,06/20/2021,06/27/2021,07/04/2021,07/11/2021,07/18/2021,07/25/2021,08/01/2021,08/08/2021,08/15/2021,08/22/2021,08/29/2021,09/05/2021,09/12/2021,09/19/2021,09/26/2021,10/03/2021,10/10/2021,10/17/2021,10/24/2021,10/31/2021,11/07/2021,11/14/2021,11/21/2021,11/28/2021,12/05/2021,12/12/2021,12/19/2021,12/26/2021,01/02/2222
transactions_13th_and_7th_ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,424,650,800,819,839
transactions_21st_and_9th_ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,995,985,1046,1066
transactions_5th_ave_and_lincoln_place,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1292,1312
transactions_71st_and_lex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1149,1111,1266,1325,1382,1408,1449,1512,1669,1527,1573,1590,1454,862,1487,1525,1628,1648
transactions_80th_and_lex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,967,935,955
transactions_88th_and_madison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126,1163,1237,1257
transactions_9th_and_3rd_ave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466,446,533,549,318,580,768,893,913
transactions_9th_and_ave_a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807,548,1060,1255,1248,1268
transactions_bedford_and_grand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597,515,500,541,559,610,650,707,823,767,856,875,936,921,724,777,909,941,894,909,829,916,912,922,975,880,828,932,886,1013,1044,1097,1043,1059,1028,1055,1069,1190,1077,1031,656,903,949,1018,1038
transactions_bedford_and_n_7th,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,602,645,764,870,903,844,949,856,971,1028,1051,1133,1013,1098,1030,1207,1309,995,1047,1228,1275,1265,1114,1145,1247,1267,1301,1312,1200,1138,1172,1178,1273,1287,1340,1344,1268,1406,1438,1325,1424,1447,1458,991,1437,1567,1662,1682
